Gene type	Gene name
protein_coding	NLRP2
protein_coding	KIR2DL3
protein_coding	LILRA1
protein_coding	SPTBN5
protein_coding	RPS9
protein_coding	TFPT
protein_coding	PFKL
protein_coding	PRPF31
protein_coding	LILRB1
protein_coding	TSEN34
protein_coding	TARM1
protein_coding	PFKFB1
protein_coding	RDH13
protein_coding	MESP2
protein_coding	LILRB4
protein_coding	B4GALT6
protein_coding	CDS2
protein_coding	MAGEL2
lncRNA	LINC00967
protein_coding	NDN
protein_coding	KIR2DL3
protein_coding	SKOR2
protein_coding	KBTBD13
protein_coding	SERPINB4
protein_coding	KIR2DL1
lncRNA	LINC01608
protein_coding	NLRP7
protein_coding	ALPK2
protein_coding	AGBL1
protein_coding	NLRP2
protein_coding	GP6
protein_coding	BEX1
protein_coding	RDH13
protein_coding	DCT
protein_coding	MTCP1
lncRNA	BAALC-AS1
protein_coding	NSMCE3
protein_coding	DIAPH3
lncRNA	BAALC-AS2
protein_coding	RALBP1
protein_coding	PLXNB3
lncRNA	XKR4-AS1
protein_coding	CPNE1
protein_coding	BNC1
lncRNA	ZNF710-AS1
TEC	GABARAPL3
protein_coding	SLC28A3
lncRNA	SLC28A3-AS1
lncRNA	GREM1-AS1
protein_coding	GOLGA8H
protein_coding	SBNO2
lncRNA	GNA14-AS1
protein_coding	SERPINB5
protein_coding	ATP11C
protein_coding	APOL3
protein_coding	HSPH1
lncRNA	LINC00583
protein_coding	CCBE1
lncRNA	LINC02578
lncRNA	GOLGA8M
protein_coding	CHST14
protein_coding	KIR2DL3
protein_coding	OR4M2
protein_coding	KIR2DL4
protein_coding	GAS1
protein_coding	GOLGA8M
protein_coding	RPL17
lncRNA	LINC01243
protein_coding	KIR2DL1
protein_coding	CHADL
protein_coding	GOLGA8G
protein_coding	PHETA2
protein_coding	KIR2DS4
protein_coding	CCDC117
miRNA	MIR147A
miRNA	MIR455
miRNA	MIR181A2
lncRNA	MIR219A2HG
protein_coding	OR4F4
protein_coding	PLA2G4E
protein_coding	KIR3DL1
protein_coding	OR2S2
miRNA	MIR491
lncRNA	LINC00928
protein_coding	AZU1
protein_coding	PQBP1
protein_coding	PRTN3
lncRNA	GSN-AS1
lncRNA	UBR5-DT
protein_coding	PPP3R2
protein_coding	GOLGA8Q
protein_coding	PLPPR3
protein_coding	MED16
lncRNA	LINC02908
protein_coding	SUSD2
protein_coding	TMEM203
protein_coding	TARM1
protein_coding	OSCAR
protein_coding	GOLGA8J
protein_coding	NRARP
lncRNA	MCPH1-DT
protein_coding	ELANE
lncRNA	MCPH1-AS1
protein_coding	NDUFA3
protein_coding	GOLGA8T
protein_coding	CFD
protein_coding	TFPT
protein_coding	ACTL7A
protein_coding	KIR3DL2
protein_coding	QRFP
protein_coding	PRPF31
protein_coding	PRDM12
lncRNA	ST3GAL1-DT
lncRNA	ST20
protein_coding	CNOT3
lncRNA	IER5L-AS1
protein_coding	AP1B1
protein_coding	LENG1
protein_coding	NCR1
protein_coding	GOLGA8S
protein_coding	MBOAT7
protein_coding	OR4N4
protein_coding	TSEN34
protein_coding	C2CD4A
protein_coding	OR1K1
protein_coding	TPTE2
protein_coding	RPS9
lncRNA	MIR600HG
protein_coding	LILRA6
protein_coding	GOLGA8K
miRNA	MIR126
protein_coding	CLDN10
protein_coding	NDUFA11
protein_coding	NFATC1
protein_coding	FUT3
lncRNA	C9orf163
protein_coding	PRKACG
protein_coding	MTIF3
lncRNA	PENK-AS1
processed_pseudogene	RAB1C
protein_coding	OR4F6
protein_coding	OR4F15
lncRNA	LINC00824
protein_coding	LILRB5
miRNA	MIR23B
miRNA	MIR27B
miRNA	MIR24-1
protein_coding	GOLGA8R
protein_coding	WBP2NL
lncRNA	PAPPA-AS2
lncRNA	PAPPA-AS1
protein_coding	GOLGA6C
protein_coding	BAIAP2L2
processed_pseudogene	ANXA2P2
lncRNA	PTENP1-AS
protein_coding	LILRB2
protein_coding	COG6
miRNA	MIR204
protein_coding	OR13F1
protein_coding	OR13C4
protein_coding	OR13C8
protein_coding	OR13C5
protein_coding	OR13C2
protein_coding	OR13C9
protein_coding	FRRS1L
transcribed_unprocessed_pseudogene	STRCP1
protein_coding	RRAGA
transcribed_unprocessed_pseudogene	WASH3P
protein_coding	CCL27
protein_coding	KIR2DL1
protein_coding	LILRA5
protein_coding	RAB12
protein_coding	CEL
protein_coding	KIR2DL4
protein_coding	GALR1
protein_coding	DPM1
protein_coding	LILRA4
protein_coding	SYT4
protein_coding	EIF3D
protein_coding	NKAP
unprocessed_pseudogene	OR13C6P
protein_coding	LILRB2
protein_coding	LAIR1
protein_coding	TAF1L
protein_coding	DCC
processed_pseudogene	EEF1A1P5
protein_coding	RCAN1
transcribed_unprocessed_pseudogene	GOLGA8IP
protein_coding	KCNV2
protein_coding	KYAT1
protein_coding	DOLK
protein_coding	OR1J1
protein_coding	RIMS4
protein_coding	OR1J2
protein_coding	OR1J4
protein_coding	OR1Q1
protein_coding	OR1L1
protein_coding	HRH4
lncRNA	MSC-AS1
protein_coding	ADIG
protein_coding	BCOR
protein_coding	OR2K2
protein_coding	KIR3DL2
protein_coding	TPP2
protein_coding	NDUFV2
protein_coding	LILRA5
protein_coding	ATP5PO
protein_coding	TNFRSF14
lncRNA	DENND3-AS1
protein_coding	IFNB1
protein_coding	IFNW1
protein_coding	IFNA21
protein_coding	OR1L3
protein_coding	LILRA4
lncRNA	LINC02843
protein_coding	LAIR1
protein_coding	OR13J1
protein_coding	LILRB1
protein_coding	NCOA3
protein_coding	LCN9
lncRNA	SYNM-AS2
protein_coding	LILRB4
processed_pseudogene	FAM220BP
protein_coding	MMEL1
miRNA	MIR199B
protein_coding	ARHGAP11B
lncRNA	LINC02907
lncRNA	STRCP1
protein_coding	RPP25
protein_coding	GOLGA6D
protein_coding	IFNA17
protein_coding	IFNA14
protein_coding	IFNA5
protein_coding	IFNA2
protein_coding	IFNA8
lncRNA	THBS1-IT1
protein_coding	IFNA1
miRNA	MIR31
protein_coding	IFNE
protein_coding	NANOGP8
protein_coding	PANK4
protein_coding	TTYH1
protein_coding	RLN1
protein_coding	IFNK
protein_coding	KIR2DL4
miRNA	MIR873
protein_coding	PLCH2
protein_coding	GGACT
protein_coding	OR13C3
protein_coding	OR13D1
protein_coding	NLRP7
protein_coding	CKAP2
lncRNA	LENG8-AS1
protein_coding	COLEC12
protein_coding	BACH1
protein_coding	HES5
protein_coding	NLRP2
lncRNA	TNFRSF14-AS1
miRNA	MIRLET7A1
miRNA	MIRLET7F1
protein_coding	KIR2DS4
protein_coding	KIR2DL1
protein_coding	PHEX
protein_coding	PRXL2B
protein_coding	GP6
protein_coding	RDH13
protein_coding	CDC42EP5
protein_coding	LAIR2
protein_coding	IFNA13
protein_coding	SS18
protein_coding	KIR2DL3
lncRNA	DBH-AS1
protein_coding	KIR3DL1
lncRNA	ALDH1A2-AS1
protein_coding	ADAMTS1
protein_coding	PABIR1
protein_coding	LILRA2
protein_coding	SLC7A1
protein_coding	TRPM1
lncRNA	LINC02855
protein_coding	KIR3DL2
protein_coding	OR13C7
protein_coding	LILRA1
lncRNA	MIR124-2HG
protein_coding	SYNJ1
protein_coding	LILRB1
protein_coding	LIG4
protein_coding	CASK
lncRNA	COL5A1-AS1
protein_coding	INTS3
protein_coding	IRS2
protein_coding	TNFSF11
protein_coding	CCDC187
protein_coding	FREM2
protein_coding	OR2T4
protein_coding	OR2T2
protein_coding	PLPP6
protein_coding	OR2T1
protein_coding	OR2T6
protein_coding	OR2T7
protein_coding	OR2T3
protein_coding	OR2T5
protein_coding	CBR3
protein_coding	OR1N1
protein_coding	OR1N2
protein_coding	OR1L4
protein_coding	OR1L6
lncRNA	LINC01609
protein_coding	DIP2A
protein_coding	OR5C1
protein_coding	LCP1
protein_coding	LILRB4
protein_coding	KIR2DL1
protein_coding	GATAD2B
protein_coding	SLC27A3
protein_coding	OR1B1
protein_coding	KIR3DL2
protein_coding	KIR2DL3
lncRNA	EXTL3-AS1
protein_coding	PCDH17
lncRNA	FAM83A-AS1
lncRNA	LINC02975
protein_coding	SLITRK5
lncRNA	LINC01503
protein_coding	USP12
protein_coding	CELSR1
protein_coding	KIR2DL4
protein_coding	KIR2DL3
protein_coding	KIR2DL1
protein_coding	BCL2
protein_coding	KIR2DL4
protein_coding	SKA3
lncRNA	STPG3-AS1
protein_coding	INO80C
protein_coding	IFNA4
protein_coding	IFNA7
protein_coding	IFNA10
protein_coding	IFNA16
protein_coding	FOXE1
protein_coding	KIR3DL1
protein_coding	SRXN1
protein_coding	ATP6V1G3
protein_coding	MRPS26
protein_coding	PTPRC
protein_coding	SALL4
protein_coding	SLC14A2
protein_coding	RAB20
protein_coding	FLT1
protein_coding	WFDC10A
protein_coding	MYH9
protein_coding	LAMA5
protein_coding	KIR2DS4
protein_coding	NETO1
protein_coding	KIR3DL2
lncRNA	MIR3150BHG
protein_coding	CLK2
protein_coding	GATA6
protein_coding	KIR2DS4
protein_coding	OR4M2B
protein_coding	PKLR
protein_coding	DSG2
protein_coding	SOX18
lncRNA	LINC00051
protein_coding	NCR1
lncRNA	PWRN1
protein_coding	KIR2DL1
protein_coding	PPIAL4F
protein_coding	ZHX3
snRNA	RNVU1-2A
lncRNA	LINC00681
protein_coding	SCAMP3
protein_coding	KIR3DL1
protein_coding	NLRP7
protein_coding	GBA1
lncRNA	CASC9
protein_coding	FRY
lncRNA	LINC02153
protein_coding	KIR2DL4
lncRNA	UBE2R2-AS1
protein_coding	NPAP1
protein_coding	KCNQ2
protein_coding	NLRP2
lncRNA	LINC02948
protein_coding	HCN3
protein_coding	IMPACT
lncRNA	MIR9-3HG
lncRNA	C8orf34-AS1
lncRNA	SIRLNT
protein_coding	GP6
lncRNA	TOX-DT
lncRNA	DLGAP2-AS1
protein_coding	RDH13
protein_coding	MBP
protein_coding	CRYBB3
protein_coding	DYRK1A
protein_coding	F13B
protein_coding	KCNT2
protein_coding	GTPBP1
protein_coding	CFHR5
protein_coding	CFHR2
lncRNA	MAMDC2-AS1
protein_coding	TARM1
protein_coding	OSCAR
protein_coding	KIR3DL2
lncRNA	GABRG3-AS1
lncRNA	VAV3-AS1
protein_coding	ZMAT5
protein_coding	SLC25A24
lncRNA	FAM242D
protein_coding	TARM1
protein_coding	MBOAT7
lncRNA	SPINT1-AS1
protein_coding	CNOT3
protein_coding	NDUFA3
protein_coding	RDH13
protein_coding	B3GALNT2
protein_coding	TSEN34
protein_coding	TFPT
protein_coding	GP6
protein_coding	RNF125
lncRNA	FAM225B
lncRNA	LINC02846
protein_coding	PRPF31
protein_coding	ZNRF3
protein_coding	LENG1
lncRNA	PWRN4
protein_coding	AFG3L2
protein_coding	ADAMTS5
protein_coding	NFS1
lncRNA	LINC03034
protein_coding	MED18
protein_coding	RPS9
lncRNA	OXR1-AS1
lncRNA	JARID2-DT
protein_coding	HORMAD2
lncRNA	YTHDF3-DT
protein_coding	ATP5IF1
protein_coding	OSCAR
protein_coding	SLITRK6
lncRNA	PRPF31-AS1
protein_coding	CNOT3
protein_coding	OLIG2
protein_coding	SESN2
protein_coding	NALCN
lncRNA	LINC02352
protein_coding	NLRP7
protein_coding	COL6A1
protein_coding	SOX4
lncRNA	JARID2-AS1
protein_coding	TFPT
protein_coding	OR14I1
protein_coding	OR2T4
protein_coding	OR2T6
protein_coding	OR2T1
protein_coding	OR2T7
protein_coding	OR2T2
protein_coding	GTSE1
protein_coding	PRPF31
protein_coding	OR2T3
protein_coding	FOXC1
protein_coding	OR2T5
protein_coding	OR2G6
protein_coding	NHLRC1
protein_coding	OR2T29
protein_coding	OR2T34
protein_coding	OR2T10
protein_coding	OR2T11
protein_coding	OR2T35
lncRNA	LINGO1-AS2
protein_coding	OR2T27
protein_coding	NDUFA3
protein_coding	NLRP2
protein_coding	LENG1
protein_coding	POU3F2
lncRNA	DCTN6-DT
protein_coding	ATP7A
protein_coding	GLYATL3
protein_coding	APOBEC3B
lncRNA	C15orf32
protein_coding	OR2T6
protein_coding	OR2T2
protein_coding	OR2T4
lncRNA	DNAJA4-DT
protein_coding	OR2T7
protein_coding	OR2T1
protein_coding	OR2T3
protein_coding	OR2T5
protein_coding	MBOAT7
protein_coding	TSPYL4
protein_coding	GFRAL
lncRNA	LINC02895
lncRNA	LINC02345
protein_coding	TSEN34
lncRNA	PRRX2-AS1
protein_coding	RPS9
protein_coding	DZANK1
protein_coding	MPHOSPH8
protein_coding	THAP7
lncRNA	SPATA41
lncRNA	LINC02244
lncRNA	LINC02834
protein_coding	TAF4
protein_coding	ADA2
protein_coding	CDH4
protein_coding	OPRL1
protein_coding	TAAR6
protein_coding	LILRB3
protein_coding	NPBWR2
protein_coding	CNMD
protein_coding	TRAPPC3L
protein_coding	VCX
lncRNA	LINC02152
lncRNA	VLDLR-AS1
protein_coding	ZIC3
protein_coding	TAAR2
protein_coding	HS3ST4
protein_coding	ADCYAP1
protein_coding	TARM1
lncRNA	LINC01195
lncRNA	LINC01177
lncRNA	TINAG-AS1
protein_coding	SMAD4
protein_coding	CHAF1B
protein_coding	NLRP2
protein_coding	LILRA6
protein_coding	PNCK
protein_coding	GP6
protein_coding	OPRM1
lncRNA	NALT1
lncRNA	LINC00273
protein_coding	TUBA3C
protein_coding	KCNQ2
protein_coding	RPS9
protein_coding	KATNAL1
protein_coding	CAPNS2
protein_coding	RDH13
protein_coding	NLRP7
protein_coding	LILRB5
protein_coding	FOXC2
protein_coding	MBOAT7
protein_coding	CYB5A
protein_coding	TSEN34
protein_coding	TFPT
protein_coding	CNOT3
protein_coding	AKAP11
protein_coding	PRPF31
protein_coding	ADAMTS18
protein_coding	PAXBP1
protein_coding	RPN2
protein_coding	OSCAR
protein_coding	SAMSN1
protein_coding	PDX1
protein_coding	LENG1
lncRNA	BHLHE22-AS1
protein_coding	TSC22D1
lncRNA	LINC02348
protein_coding	LZTR1
protein_coding	NDUFA3
protein_coding	KIR2DS4
protein_coding	KIR3DL2
protein_coding	APOBEC3A
protein_coding	CLDN9
protein_coding	SMCHD1
unprocessed_pseudogene	OR1F2P
lncRNA	HSD17B3-AS1
protein_coding	POMP
lncRNA	LINC02845
protein_coding	OR2C1
lncRNA	TMEM246-AS1
protein_coding	CSTB
lncRNA	NMBR-AS1
protein_coding	OLIG3
protein_coding	FTCD
miRNA	MIR762
lncRNA	LINC02842
lncRNA	NCF4-AS1
protein_coding	NCF4
protein_coding	FGF9
protein_coding	GART
lncRNA	FTCD-AS1
protein_coding	LSS
protein_coding	LATS2
protein_coding	PVALB
lncRNA	LINC02164
protein_coding	ELAC1
miRNA	MIR588
protein_coding	IFNGR2
protein_coding	GJA10
protein_coding	SPATC1L
protein_coding	IFT88
protein_coding	CASP8AP2
protein_coding	TMEM50B
protein_coding	CBX7
protein_coding	PIK3C3
snRNA	RN7SK
lncRNA	NFATC2IP-AS1
unprocessed_pseudogene	OR2W6P
protein_coding	OR2B6
protein_coding	GPR31
protein_coding	TFAP2D
lncRNA	LINC01011
transcribed_unprocessed_pseudogene	SLC7A5P1
lncRNA	SLX1A-SULT1A3
protein_coding	DENND6B
protein_coding	SMDT1
protein_coding	GPR139
protein_coding	ADGRG2
protein_coding	NDUFA6
protein_coding	ZNF469
protein_coding	PRM3
lncRNA	NDUFA6-DT
protein_coding	GCM2
protein_coding	CYP2D7
lncRNA	SOD2-OT1
protein_coding	EXOSC6
protein_coding	KHDC1L
protein_coding	GUCA1B
protein_coding	NOX3
lncRNA	LINC01613
lncRNA	DDR1-DT
protein_coding	DDX28
protein_coding	CDSN
IG_V_gene	IGLV1-40
IG_V_gene	IGLV1-44
protein_coding	HS3ST6
lncRNA	LINC02536
protein_coding	TEKT5
IG_V_gene	IGLV7-43
protein_coding	H1-1
protein_coding	H2AC4
lncRNA	LINC02557
protein_coding	H3C3
protein_coding	H1-6
protein_coding	H1-4
lncRNA	ADAM7-AS2
protein_coding	H2BC6
protein_coding	TMPRSS3
protein_coding	DERL3
protein_coding	H4C4
protein_coding	PRAME
lncRNA	FAM88C
protein_coding	CEMP1
protein_coding	SLC2A11
protein_coding	MICAL3
protein_coding	LY6G6C
protein_coding	OBI1
protein_coding	MED4
lncRNA	GAS8-AS1
protein_coding	RBP3
miRNA	MIR328
protein_coding	SMDT1
protein_coding	NDUFA6
lncRNA	NDUFA6-DT
lncRNA	LINC02571
protein_coding	ONECUT3
protein_coding	TBCC
lncRNA	LINC00304
protein_coding	S1PR4
lncRNA	MAP7-AS1
protein_coding	CYP2D6
protein_coding	ZNRF4
protein_coding	FLT3
protein_coding	SEPHS2
protein_coding	CAPN11
lncRNA	FBN1-DT
protein_coding	CYP26C1
lncRNA	LINC00588
protein_coding	OR7C2
protein_coding	CYP4F8
protein_coding	MIF
protein_coding	APOL5
protein_coding	ICOSLG
protein_coding	CSTF2T
protein_coding	RBFOX2
lncRNA	MIF-AS1
protein_coding	GSTT2B
lncRNA	BEAN1-AS1
protein_coding	ATP8B1
miRNA	MIR877
protein_coding	DDT
protein_coding	CASP14
protein_coding	MPIG6B
protein_coding	RAP2A
protein_coding	NDUFA6
lncRNA	LINC01506
protein_coding	SACS
protein_coding	URB1
lncRNA	CDH3-AS1
protein_coding	GSTT4
lncRNA	CABIN1
lncRNA	KIF23-AS1
protein_coding	GSTT2
protein_coding	BORCS8-MEF2B
protein_coding	GPR26
protein_coding	ARMS2
lncRNA	PGM5-AS1
lncRNA	TMEM252-DT
protein_coding	PNPLA1
lncRNA	GOLGA8IP
protein_coding	UPF3A
protein_coding	CHCHD10
miRNA	MIR511
protein_coding	MMP11
protein_coding	CYP2D6
protein_coding	ASCC2
protein_coding	HLA-DQA2
miRNA	MIR346
lncRNA	LINC02186
protein_coding	SMARCB1
lncRNA	PSMB8-AS1
lncRNA	LINC01165
miRNA	MIR146B
protein_coding	PTPN2
protein_coding	MRAP
lncRNA	LINC02964
protein_coding	SPACA1
protein_coding	SETD4
protein_coding	PKD1L3
lncRNA	LINC00861
lncRNA	ST20-AS1
protein_coding	H2AC16
protein_coding	H1-5
protein_coding	H3C11
protein_coding	H4C13
protein_coding	H3C12
protein_coding	PIGT
protein_coding	H2AC17
lncRNA	EBF3-AS1
protein_coding	H2BC17
protein_coding	OR2B2
lncRNA	LINC01561
lncRNA	FER1L6-AS2
protein_coding	NPS
lncRNA	ERVK-28
protein_coding	CALML5
protein_coding	NDUFA6
protein_coding	SMDT1
protein_coding	CYP2D6
protein_coding	RPEL1
lncRNA	LINC01607
protein_coding	SPART
protein_coding	ADI1
protein_coding	H2AC7
protein_coding	TRAPPC12
protein_coding	H1-3
protein_coding	H4C6
protein_coding	H4C7
lncRNA	LINC02205
protein_coding	H3C7
lncRNA	KCNMA1-AS3
protein_coding	H2BC10
protein_coding	PERCC1
lncRNA	RORA-AS2
protein_coding	LIPM
protein_coding	OR2H2
protein_coding	CYP2D6
lncRNA	LINC03025
lncRNA	NDUFA6-DT
protein_coding	THAP11
protein_coding	CABP5
lncRNA	EIF3J-DT
lncRNA	BMS1P4-AGAP5
protein_coding	CYP2D7
lncRNA	SMC2-DT
protein_coding	LILRA2
protein_coding	H4C3
protein_coding	OR2A4
protein_coding	CTAGE9
lncRNA	ZSWIM8-AS1
lncRNA	MAILR
protein_coding	MMGT1
lncRNA	LINC01413
protein_coding	CYP2D7
protein_coding	DEFB114
lncRNA	RORB-AS1
protein_coding	DEFB113
protein_coding	RNF128
protein_coding	DEFB110
lncRNA	ZFPM1-AS1
protein_coding	TPGS2
protein_coding	IFNL1
protein_coding	OR12D2
protein_coding	OR5V1
protein_coding	OR12D3
protein_coding	LILRB1
miRNA	MIR219A1
protein_coding	B3GALT4
lncRNA	LINC01419
protein_coding	HPS6
miRNA	MIR320E
protein_coding	PIR
protein_coding	OR14J1
protein_coding	IRF2BP1
protein_coding	NANOS2
lncRNA	DEPTOR-AS1
lncRNA	RAET1E-AS1
protein_coding	NPIPB3
miRNA	MIR320A
protein_coding	H4C8
transcribed_processed_pseudogene	SLC7A5P2
protein_coding	OR2J1
protein_coding	OR2J2
protein_coding	OR10C1
miRNA	MIR365A
lncRNA	WAPL-DT
lncRNA	LINC02490
unprocessed_pseudogene	GPR32P1
protein_coding	GPR32
protein_coding	SORCS3
protein_coding	HIPK4
protein_coding	CH25H
protein_coding	PROM2
protein_coding	IFNL2
protein_coding	NMBR
protein_coding	IZUMO1
protein_coding	H2AC14
protein_coding	H4C11
protein_coding	LILRB2
protein_coding	H3C10
lncRNA	HCP5B
lncRNA	LINC01504
protein_coding	PRSS41
lncRNA	HLA-DQB1-AS1
protein_coding	SLC18A3
lncRNA	NTRK3-AS1
protein_coding	EIF5AL1
protein_coding	LILRA6
transcribed_unprocessed_pseudogene	AGAP11
protein_coding	H2AC13
protein_coding	H2BC7
protein_coding	H2BC9
protein_coding	H3C8
protein_coding	H4C5
protein_coding	CYP2D6
protein_coding	TAAR5
protein_coding	H2AC12
protein_coding	IQSEC2
protein_coding	POM121L2
miRNA	MIR107
protein_coding	KIR2DL1
protein_coding	RIPPLY2
protein_coding	LIPK
protein_coding	NLRP9
protein_coding	OR11A1
protein_coding	KIF5C
protein_coding	TTYH1
protein_coding	CALHM1
protein_coding	CALHM3
protein_coding	RFPL4AL1
lncRNA	LINC02247
lncRNA	SH3PXD2A-AS1
lncRNA	ECI1-AS1
protein_coding	MZT2B
lncRNA	LINC00235
protein_coding	CLPSL1
protein_coding	CCDC68
protein_coding	TUBA3E
protein_coding	HAT1
protein_coding	ATOH7
lncRNA	LINC00052
protein_coding	SMPD4
protein_coding	METAP1D
protein_coding	DLX1
protein_coding	PTTG1IP
protein_coding	ADRA2A
protein_coding	IL13RA1
protein_coding	SLC25A12
protein_coding	LILRB5
protein_coding	SF3B5
protein_coding	S1PR2
lncRNA	LINC02635
protein_coding	DYNC1I2
lncRNA	CELF2-AS2
lncRNA	LINC01491
protein_coding	ITM2B
unprocessed_pseudogene	OR1F12P
lncRNA	LINC01606
protein_coding	GAL3ST2
protein_coding	RAB6C
protein_coding	NEU4
miRNA	MIR206
lncRNA	LINCMD1
miRNA	MIR133B
protein_coding	VPS4B
protein_coding	IL17A
protein_coding	ADRB1
protein_coding	IL17F
protein_coding	CNOT3
miRNA	MIR99B
miRNA	MIRLET7E
miRNA	MIR125A
protein_coding	KCNJ15
protein_coding	TAAR8
protein_coding	CACNG2
protein_coding	TAAR9
protein_coding	PCDH8
lncRNA	MAST3-AS1
protein_coding	OTUD1
protein_coding	ESD
lncRNA	LINC02351
protein_coding	PDE4C
protein_coding	WNT7B
protein_coding	JUND
lncRNA	LINC00926
protein_coding	LENG1
lncRNA	PTOV1-AS2
transcribed_unprocessed_pseudogene	MT1DP
protein_coding	LAIR1
protein_coding	APOBEC3C
lncRNA	FAM240C
protein_coding	RTP5
lncRNA	ARNT2-DT
protein_coding	SUMO4
protein_coding	PDCD1
lncRNA	BANCR
lncRNA	LINC00921
protein_coding	ACSM6
miRNA	MIR140
protein_coding	H2AC1
protein_coding	H2BC1
protein_coding	CRIM1
protein_coding	FAM170B
lncRNA	CRIM1-DT
protein_coding	KASH5
protein_coding	PNLIP
protein_coding	TTBK1
protein_coding	CCDC22
protein_coding	SERPINB8
protein_coding	ABCB11
protein_coding	PNLIPRP2
protein_coding	G6PC2
protein_coding	SOX10
lncRNA	FAM66D
protein_coding	SPC25
miRNA	MIR150
protein_coding	CRYBB2
protein_coding	CDC42EP5
protein_coding	KIR2DL3
protein_coding	LHB
protein_coding	LILRA1
protein_coding	PPIL2
transcribed_unprocessed_pseudogene	DEFB133
lncRNA	ALDH1A3-AS1
protein_coding	ITGB2
lncRNA	CLN8-AS1
protein_coding	LAIR2
miRNA	MIR498
miRNA	MIR520E
transcribed_unprocessed_pseudogene	BTN2A3P
miRNA	MIR515-1
miRNA	MIR520A
miRNA	MIR520B
miRNA	MIR518B
miRNA	MIR520C
miRNA	MIR517A
miRNA	MIR519D
miRNA	MIR520D
miRNA	MIR520G
protein_coding	TCF7L1
miRNA	MIR517C
miRNA	MIR520H
lncRNA	TCF7L1-IT1
protein_coding	TGOLN2
protein_coding	FGF14
protein_coding	NLRP2
protein_coding	RETSAT
lncRNA	LINC01030
protein_coding	WFIKKN1
protein_coding	GJB6
protein_coding	MSLNL
lncRNA	DRAIC
lncRNA	LINC00664
protein_coding	TERB1
protein_coding	JUNB
lncRNA	CDRT15P3
protein_coding	LILRB4
miRNA	MIR24-2
miRNA	MIR27A
miRNA	MIR23A
miRNA	MIR181C
miRNA	MIR181D
protein_coding	MTRF1
lncRNA	CEROX1
protein_coding	ADO
lncRNA	TRIM8-DT
protein_coding	CRYGD
miRNA	MIR638
miRNA	MIR199A1
protein_coding	CRYGC
protein_coding	GSK3A
processed_pseudogene	TMEM14DP
protein_coding	CBY1
lncRNA	GRK5-IT1
protein_coding	PEDS1
protein_coding	MBOAT7
protein_coding	TSPAN6
lncRNA	PDXDC2P-NPIPB14P
protein_coding	TSEN34
protein_coding	DHX36
protein_coding	IMPA2
lncRNA	MAP3K4-AS1
protein_coding	CTSZ
protein_coding	GABRR2
lncRNA	ACTA2-AS1
protein_coding	RPS9
protein_coding	ARHGEF26
lncRNA	ARHGEF26-AS1
protein_coding	LILRB3
protein_coding	GJD4
lncRNA	BISPR
protein_coding	FZD8
lncRNA	LINC02656
protein_coding	RBM11
protein_coding	CABLES1
transcribed_processed_pseudogene	PPP1R2P1
lncRNA	CPEB1-AS1
protein_coding	IRAK1
protein_coding	NXNL1
protein_coding	PRNP
lncRNA	LINC00842
protein_coding	FUT5
protein_coding	PLA2G6
protein_coding	PCP4
protein_coding	SLC25A41
protein_coding	RAD21L1
protein_coding	SOD1
protein_coding	OR10H2
protein_coding	OR10H3
protein_coding	OR7E24
protein_coding	PCDH20
protein_coding	OR1I1
protein_coding	TARM1
protein_coding	OR10H1
protein_coding	DSG3
protein_coding	OR7A10
transcribed_unitary_pseudogene	CMAHP
protein_coding	MYL12B
lncRNA	GJD2-DT
protein_coding	WNT8B
protein_coding	NDUFA3
protein_coding	GSTA5
protein_coding	OSCAR
lncRNA	CASC22
lncRNA	CT62
miRNA	MIR372
miRNA	MIR373
protein_coding	CACNG8
protein_coding	SLAIN1
miRNA	MIR935
protein_coding	RDH13
protein_coding	INO80D
protein_coding	TFPT
protein_coding	PRPF31
lncRNA	ZNF433-AS1
lncRNA	ERVK13-1
protein_coding	OSBPL1A
protein_coding	NDUFS1
lncRNA	LINC01586
protein_coding	GP6
lncRNA	JMJD1C-AS1
protein_coding	ERVFRD-1
protein_coding	OR12D1
protein_coding	KIR2DL4
lncRNA	FNDC1-IT1
protein_coding	OR1M1
protein_coding	OR7G1
protein_coding	OR7G3
protein_coding	H2AC11
protein_coding	H4C9
protein_coding	OR7D4
protein_coding	SLC17A9
protein_coding	OR7A17
lncRNA	LINC01108
protein_coding	EBPL
protein_coding	KIR3DL1
protein_coding	HUS1B
lncRNA	CAMSAP1-DT
protein_coding	TMEM50B
protein_coding	B3GLCT
lncRNA	LINC01515
lncRNA	KU-MEL-3
protein_coding	OR2W1
lncRNA	RDH10-AS1
protein_coding	OR2B3
protein_coding	UCHL3
protein_coding	HTR1B
protein_coding	TARM1
lncRNA	HCP5
lncRNA	ZNF778-DT
lncRNA	LINC00968
protein_coding	LILRA4
protein_coding	KIR2DS4
lncRNA	VPS9D1-AS1
protein_coding	MFNG
protein_coding	SAGE1
protein_coding	KIR3DL2
lncRNA	SAPCD1-AS1
protein_coding	EEF1B2
lncRNA	C4A-AS1
lncRNA	C4B-AS1
lncRNA	LINC02959
protein_coding	CATSPERD
lncRNA	SNHG32
lncRNA	SNHG14
protein_coding	CMKLR2
protein_coding	SHROOM2
protein_coding	ZDBF2
lncRNA	CIRBP-AS1
protein_coding	WFDC3
lncRNA	ZNF25-DT
